Host,Citations
Alces alces,555
Axis axis,76
Bos frontalis,113
Bos grunniens,359
Bos javanicus,71
Bos taurus,3952
Boselaphus tragocamelus,35
Bubalus bubalis,1976
Camelus bactrianus,177
Camelus dromedarius,1238
Canis familiaris,1241
Canis lupus familiaris,430
Capra hircus,1029
Cavia porcellus,675
Cervus elaphus,1795
Cervus nippon,443
Cricetomys gambianus,116
Dama dama,437
Elephas maximus,591
Equus africanus,31
Equus asinus,382
Equus caballus,771
Equus ferus,110
Felis catus,1046
Hydrochoerus hydrochaeris,134
Lama glama,312
Lama pacos,156
Mus musculus,5520
Neovison vison,285
Ondatra zibethicus,126
Oryctolagus cuniculus,1851
Ovis aries,1395
Rangifer tarandus,757
Rattus rattus,1051
Vicugna pacos,234
Vicugna vicugna,40
Bos taurus indicus,135
Abrothrix longipilis,12
Abrothrix olivaceus,9
Abrothrix sanborni,1
Acomys cahirinus,276
Acomys dimidiatus,26
Aethomys kaiseri,3
Aethomys namaquensis,11
Akodon azarae,60
Akodon cursor,34
Akodon montensis,52
Akodon obscurus,5
Akodon paranaensis,10
Akodon simulator,3
Akodon varius,1
Alces americanus,24
Allactaga williamsi,1
Alouatta seniculus,78
Ammospermophilus nelsoni,2
Anoura caudifer,6
Anoura geoffroyi,15
Antrozous pallidus,34
Apodemus agrarius,410
Apodemus argenteus,44
Apodemus chevrieri,20
Apodemus flavicollis,371
Apodemus latronum,5
Apodemus mystacinus,13
Apodemus pallipes,1
Apodemus peninsulae,73
Apodemus speciosus,119
Apodemus sylvaticus,483
Apodemus uralensis,28
Artibeus fimbriatus,5
Artibeus jamaicensis,104
Artibeus lituratus,110
Artibeus obscurus,9
Artibeus planirostris,39
Arvicanthis neumanni,3
Arvicanthis niloticus,177
Arvicola amphibius,34
Arvicola scherman,9
Aselliscus stoliczkanus,12
Atelerix albiventris,116
Baiomys taylori,15
Balaenoptera acutorostrata,167
Balaenoptera borealis,42
Balaenoptera physalus,198
Balionycteris maculata,742
Bandicota bengalensis,83
Bandicota indica,77
Barbastella barbastellus,24
Bauerus dubiaquercus,0
Bibimys chacoensis,0
Cabassous centralis,1
Callicebus oenanthe,6
Callorhinus ursinus,186
Callosciurus finlaysonii,6
Callosciurus notatus,10
Callospermophilus lateralis,13
Calomys callosus,110
Calomys laucha,29
Calomys musculinus,56
Calomys tener,10
Caluromys derbianus,9
Caluromys philander,20
Carollia brevicauda,19
Carollia perspicillata,203
Carollia sowelli,8
Carollia subrufa,1
Cercopithecus kandti,1
Cercopithecus preussi,3
Cercopithecus solatus,7
Cercopithecus wolfi,4
Chaerephon plicatus,3
Chaetodipus hispidus,7
Chaetodipus spinatus,2
Chaetophractus vellerosus,22
Chionomys roberti,2
Choloepus hoffmanni,71
Chrotopterus auritus,7
Coendou melanurus,1
Coendou rothschildi,3
Coleura afra,4
Corynorhinus townsendii,9
Craseonycteris thonglongyai,1
Crocidura attenuata,7
Crocidura goliath,1
Crocidura leucodon,24
Crocidura montis,0
Crocidura olivieri,11
Crocidura russula,115
Ctenodactylus gundi,14
Cynictis penicillata,15
Cynomops abrasus,2
Cynomops planirostris,3
Cynopterus brachyotis,46
Cynopterus horsfieldii,0
Cystophora cristata,119
Dasymys incomtus,3
Dasymys rufulus,1
Dasyprocta punctata,9
Dasyurus geoffroii,7
Delphinus delphis,219
Deomys ferrugineus,0
Dephomys defua,0
Dermanura cinereus,0
Dermanura phaeotis,4
Dermanura toltecus,0
Desmodillus auricularis,6
Desmodus rotundus,387
Diaemus youngi,13
Diclidurus albus,3239
Didelphis albiventris,204
Diphylla ecaudata,18
Diplomys labilis,0
Dipodomys heermanni,4
Dipodomys merriami,69
Dipodomys nitratoides,1
Dorcopsis muelleri,5
Dyacopterus spadiceus,54
Echinosorex gymnura,2
Eothenomys cachinus,2
Eothenomys miletus,24
Epomops dobsonii,0
Eptesicus brasiliensis,2
Eptesicus diminutus,4
Eptesicus furinalis,10
Eptesicus fuscus,514
Eptesicus serotinus,77
Erinaceus amurensis,6
Erinaceus concolor,14
Erinaceus europaeus,388
Erinaceus roumanicus,28
Eschrichtius robustus,66
Euderma maculatum,5
Eumetopias jubatus,179
Eumops auripendulus,2
Eumops glaucinus,6
Eumops patagonicus,2
Eumops perotis,7
Funambulus tristriatus,1
Gerbilliscus brantsii,0
Gerbilliscus kempi,2
Gerbilliscus leucogaster,2
Gerbilliscus validus,0
Gerbillus dasyurus,23
Gerbillus gerbillus,27
Glauconycteris argentata,0
Glauconycteris poensis,2
Glauconycteris variegata,0
Globicephala melas,122
Glossophaga commissarisi,7
Glossophaga longirostris,5
Glossophaga morenoi,1
Glossophaga soricina,109
Graomys griseoflavus,13
Halichoerus grypus,376
Handleyomys alfaroi,1
Handleyomys fuscatus,0
Heimyscus fumosus,0
Hemiechinus auritus,41
Heteromys anomalus,6
Hipposideros abae,1
Hipposideros bicolor,6
Hipposideros caffer,8
Hipposideros cervinus,2
Hipposideros cineraceus,1
Hipposideros curtus,0
Hipposideros cyclops,5
Hipposideros diadema,9
Hipposideros fuliginosus,1
Hipposideros galeritus,2
Hipposideros grandis,0
Hipposideros jonesi,0
Hipposideros pratti,18
Histiotus montanus,5
Histiotus velatus,5
Holochilus chacarius,6
Holochilus sciureus,4
Hoplomys gymnurus,0
Hydromys chrysogaster,20
Hylaeamys laticeps,2
Hylaeamys megacephalus,14
Hylomyscus alleni,1
Hylomyscus parvus,2
Hylomyscus stella,3
Hypsugo crassulus,1
Hypsugo musciculus,23
Hypsugo pulveratus,1
Ia io,10
Ictidomys tridecemlineatus,144
Kerivoula hardwickii,7
Kerivoula minuta,0
Kerivoula pellucida,1
Lasionycteris noctivagans,52
Lasiurus blossevillii,3
Lasiurus borealis,46
Lasiurus cinereus,61
Lasiurus ega,7
Lasiurus egregius,0
Lasiurus intermedius,1
Lasiurus seminolus,2
Lasiurus xanthinus,174
Lemmus lemmus,32
Lemmus sibiricus,22
Lemniscomys rosalia,4
Lemniscomys striatus,21
Leopoldamys neilli,2
Leptonychotes weddellii,74
Leptonycteris curasoae,20
Leptonycteris nivalis,7
Lichonycteris obscura,455
Liomys adspersus,0
Lobodon carcinophaga,7
Lonchophylla robusta,0
Lonchophylla thomasi,0
Lonchorhina aurita,5
Lophostoma brasiliense,0
Lophostoma silvicolum,5
Lophuromys flavopunctatus,9
Lophuromys nudicaudus,0
Lophuromys sikapusi,4
Loxodontomys micropus,4
Macroglossus minimus,6
Macroglossus sobrinus,1
Macronycteris vittatus,1
Macrotus californicus,16
Madromys blanfordi,16
Malacomys longipes,4
Manis tricuspis,22
Marmosa murina,14
Mastomys awashensis,1
Mastomys coucha,135
Mastomys erythroleucus,37
Mastomys huberti,17
Mastomys natalensis,530
Maxomys surifer,13
Maxomys whiteheadi,8
Megadontomys nelsoni,1
Megaerops ecaudatus,2
Megaerops niphanae,2
Melanomys caliginosus,9
Menetes berdmorei,7
Meriones crassus,85
Meriones libycus,91
Meriones meridianus,47
Mesocricetus auratus,1777
Mesophylla macconnelli,0
Metachirus nudicaudatus,17
Micoureus demerarae,11
Micromys minutus,78
Micronycteris megalotis,1
Microtus agrestis,403
Microtus arvalis,497
Microtus californicus,63
Microtus fortis,89
Microtus gregalis,13
Microtus ilaeus,2
Microtus levis,13
Microtus maximowiczii,6
Microtus ochrogaster,461
Microtus oeconomus,153
Microtus pennsylvanicus,258
Microtus subterraneus,17
Millardia meltada,24
Mimon crenulatum,4
Miniopterus fuliginosus,28
Miniopterus inflatus,6
Miniopterus magnater,6
Miniopterus minor,2
Miniopterus pusillus,5
Miniopterus schreibersii,101
Miniopterus tristis,0
Mirounga leonina,141
Molossops neglectus,1
Molossus currentium,2
Molossus molossus,101
Molossus rufus,12
Mops condylura,0
Mops condylurus,14
Mops demonstrator,0
Mormoops megalophylla,11
Murina aurata,0
Murina cyclotis,1
Murina leucogaster,13
Mus booduga,58
Mus bufo,7
Mus caroli,103
Mus cervicolor,29
Mus cookii,4
Mus minutoides,36
Mus musculoides,2
Mus setulosus,1
Mus spicilegus,58
Mus spretus,541
Mus_minutoides,36
Myocastor coypus,161
Myodes gapperi,23
Myodes glareolus,490
Myodes regulus,22
Myodes rufocanus,38
Myodes rutilus,25
Myotis albescens,5
Myotis altarium,4
Myotis austroriparius,6
Myotis bechsteinii,33
Myotis blythii,16
Myotis californicus,8
Myotis chiloensis,6
Myotis chinensis,3
Myotis ciliolabrum,7
Myotis dasycneme,19
Myotis daubentonii,91
Myotis evotis,6
Myotis fimbriatus,4
Myotis grisescens,9
Myotis horsfieldii,3
Myotis keaysi,2
Myotis keenii,3
Myotis laniger,1
Myotis leibii,2
Myotis levis,4
Myotis longipes,0
Myotis lucifugus,378
Myotis macrodactylus,12
Myotis muricola,1
Myotis myotis,223
Myotis nigricans,30
Myotis occultus,1
Myotis oxyotus,2
Myotis pilosus,2
Myotis ricketti,20
Myotis riparius,7
Myotis septentrionalis,21
Myotis siligorensis,2
Myotis thysanodes,9
Myotis velifer,26
Myotis volans,8
Myotis welwitschii,0
Myotis yumanensis,9
Natalus stramineus,4
Natalus tumidirostris,2
Neacomys guianae,1
Neacomys spinosus,5
Necromys amoenus,0
Necromys benefactus,2
Necromys lasiurus,35
Necromys obscurus,0
Nectomys squamipes,80
Neoromicia brunnea,0
Neoromicia capensis,5
Neoromicia nana,5
Neoromicia somalica,1
Neoromicia tenuipinnis,16
Neotoma albigula,54
Neotoma cinerea,14
Neotoma floridana,33
Neotoma fuscipes,64
Neotoma lepida,48
Neotoma leucodon,2
Neotoma macrotis,10
Neotoma mexicana,18
Neotoma micropus,53
Neotoma stephensi,19
Nephelomys albigularis,0
Nesokia indica,38
Niviventer confucianus,24
Niviventer cremoriventer,1
Niviventer fulvescens,10
Nyctalus leisleri,13
Nyctalus noctula,66
Nyctalus plancyi,9
Nyctalus velutinus,2
Nycteris gambiensis,1
Nycteris grandis,1
Nycteris hispida,3
Nycteris major,2
Nycteris nana,1
Nycteris thebaica,9
Nycteris tragata,21
Nycticeius humeralis,11
Nyctinomops laticaudatus,17
Nyctinomops macrotis,9
Ochotona thibetana,1
Odobenus rosmarus,114
Oecomys bicolor,3
Oecomys paricola,4
Oligoryzomys chacoensis,5
Oligoryzomys fornesi,6
Oligoryzomys fulvescens,13
Oligoryzomys longicaudatus,41
Oligoryzomys microtis,12
Oligoryzomys nigripes,63
Onychomys leucogaster,59
Onychomys torridus,17
Orcinus orca,282
Oryx beisa,4
Oryzomys couesi,7
Oryzomys flavescens,22
Oryzomys palustris,68
Otaria bryonia,1
Otaria flavescens,82
Otomops martiensseni,3
Otomys irroratus,9
Otomys tropicalis,0
Otospermophilus beecheyi,13
Otospermophilus variegatus,4
Oxymycterus nasutus,7
Oxymycterus quaestor,2
Oxymycterus rufus,14
Pagophilus groenlandicus,84
Parastrellus hesperus,241
Pelomys isseli,1
Perameles nasuta,23
Perognathus parvus,12
Peromyscus attwateri,1
Peromyscus boylii,20
Peromyscus californicus,170
Peromyscus difficilis,5
Peromyscus eremicus,47
Peromyscus gossypinus,34
Peromyscus leucopus,647
Peromyscus maniculatus,839
Peromyscus megalops,3
Peromyscus melanophrys,5
Peromyscus melanotis,4
Peromyscus mexicanus,6
Peromyscus truei,14
Petrodromus tetradactylus,7
Philander opossum,43
Philetor brachypterus,0
Phoca vitulina,764
Phocoena phocoena,438
Phocoena spinipinnis,15
Phocoenoides dalli,45
Phyllostomus discolor,85
Phyllostomus hastatus,51
Phyllotis darwini,42
Physeter macrocephalus,163
Pipistrellus abramus,37
Pipistrellus ceylonicus,2
Pipistrellus coromandra,3
Pipistrellus inexspectatus,0
Pipistrellus kuhlii,36
Pipistrellus nanulus,1
Pipistrellus nathusii,23
Pipistrellus pipistrellus,124
Pipistrellus pulveratus,2
Pipistrellus pygmaeus,26
Pipistrellus subflavus,19
Pithecia irrorata,9
Pithecia monachus,8
Platyrrhinus helleri,3
Plecotus auritus,57
Praomys derooi,1
Praomys jacksoni,2
Praomys misonnei,2
Praomys tullbergi,6
Procolobus rufomitratus,32
Proechimys guairae,7
Proechimys guyannensis,20
Proechimys longicaudatus,2
Proechimys semispinosus,12
Psammomys obesus,463
Pteronotus davyi,4
Pteronotus parnellii,144
Pteronotus personatus,10
Pteropus medius,15
Pusa caspica,12
Pusa hispida,95
Pusa sibirica,43
Rattus argentiventer,22
Rattus exulans,76
Rattus fuscipes,38
Rattus leucopus,4
Rattus losea,47
Rattus nitidus,9
Rattus norvegicus,3595
Rattus pyctoris,1
Rattus tanezumi,76
Rattus tiomanicus,22
Reithrodontomys fulvescens,10
Reithrodontomys megalotis,43
Reithrodontomys mexicanus,3
Rhabdomys pumilio,99
Rhinolophus cornutus,10
Rhinolophus hildebrandti,1
Rhinolophus horsfieldi,5
Rhinolophus lepidus,4
Rhinolophus pusillus,17
Rhinophylla pumilio,4
Rhinopoma hardwickii,5
Rhinosciurus laticaudatus,1
Rhogeessa parvula,1
Rhombomys opimus,160
Rhynchonycteris naso,5
Rusa timorensis,19
Ruwenzorisorex suncoides,1
Saccolaimus flaviventris,5
Saccolaimus saccolaimus,8
Sapajus libidinosus,76
Sapajus nigritus,33
Scotophilus dinganii,1
Scotophilus heathii,5
Scotophilus kuhlii,15
Scotophilus leucogaster,3
Scotophilus nigrita,0
Scotophilus nux,0
Sekeetamys calurus,6
Sigmodon alstoni,11
Sigmodon hirsutus,3
Sigmodon hispidus,411
Sigmodon mascotensis,1
Sigmodon toltecus,2
Sooretamys angouya,14
Sorex araneus,380
Stenella coeruleoalba,276
Stenocephalemys albipes,4
Sturnira erythromos,1
Sturnira lilium,58
Sturnira ludovici,2
Sturnira tildae,82
Suncus murinus,716
Sundamys infraluteus,15
Sundasciurus hippurus,1
Sundasciurus lowii,1
Sus scrofa domesticus,252
Syconycteris australis,5
Sylvilagus bachmani,16
Sylvilagus brasiliensis,9
Sylvisorex ollula,3
Tadarida teniotis,18
Talpa romana,4
Tamias amoenus,20
Tamias minimus,11
Tamias sibiricus,65
Tamias striatus,128
Tamias umbrinus,2
Taphozous longimanus,11
Taphozous mauritianus,3
Taphozous melanopogon,23
Taphozous perforatus,6
Taurotragus oryx,89
Thallomys nigricauda,5
Thamnomys macmillani,0
Thaptomys nigrita,11
Thomasomys vulcani,0
Thomomys talpoides,20
Tolypeutes matacus,13
Tonatia bidens,1
Trachops cirrhosus,27
Trachypithecus obscurus,7
Triaenops persicus,3
Trichosurus vulpecula,767
Trinomys iheringi,4
Tursiops truncatus,1331
Tylomys nudicaudus,2
Tylonycteris pachypus,14
Tylonycteris robustula,5
Uranomys ruddi,3
Urocitellus columbianus,8
Urocitellus richardsonii,26
Uroderma bilobatum,19
Vampyrodes caraccioli,1
Vampyrum spectrum,3
Vandeleuria oleracea,3
Vespadelus pumilus,1
Vespertilio murinus,15
Vespertilio sinensis,10
Vulpes lagopus,123
Xerus inauris,20
Zalophus californianus,430
Zygodontomys brevicauda,30
Bradypus tridactylus,42
Canis simensis,26
Choloepus didactylus,48
Cynomys ludovicianus,206
Dasyprocta leporina,53
Dobsonia anderseni,0
Dobsonia moluccensis,2
Epomophorus gambianus,14
Epomophorus wahlbergi,14
Funisciurus congicus,1
Funisciurus pyrropus,1
Glaucomys volans,30
Herpestes ichneumon,39
Hylopetes phayrei,1
Ichneumia albicauda,6
Lissonycteris angolensis,4
Macropus fuliginosus,61
Macropus giganteus,163
Macropus parma,20
Macropus robustus,58
Macropus rufogriseus,116
Macropus rufus,130
Marmota flaviventris,75
Marmota monax,243
Megaloglossus woermanni,3
Myonycteris angolensis,1
Myonycteris torquata,8
Nanonycteris veldkampii,1
Oligoryzomys flavescens,35
Pseudalopex vetulus,10
Rhinolophus acuminatus,2
Rhinolophus affinis,27
Rhinolophus arcuatus,1
Rhinolophus blasii,4
Rhinolophus clivosus,7
Rhinolophus coelophyllus,10786
Rhinolophus eloquens,2
Rhinolophus euryale,10
Rhinolophus ferrumequinum,138
Rhinolophus formosae,2
Rhinolophus fumigatus,2
Rhinolophus hildebrandtii,3
Rhinolophus hipposideros,34
Rhinolophus landeri,2
Rhinolophus macrotis,6
Rhinolophus mehelyi,6
Rhinolophus paradoxolophus,10786
Rhinolophus pearsonii,0
Rhinolophus rex,1
Rhinolophus rouxii,2
Rhinolophus shameli,1
Rhinolophus sinicus,43
Rhinolophus thomasi,2
Rhinolophus trifoliatus,1
Sciurus granatensis,11
Sciurus griseus,22
Sciurus niger,62
Sciurus variegatoides,7
Setonix brachyurus,130
Spermophilus citellus,30
Tadarida brasiliensis,177
Tamiasciurus hudsonicus,123
Urocyon littoralis,39
Acerodon celebensis,1
Acerodon jubatus,4
Acinonyx jubatus,341
Aepyceros melampus,154
Ailurus fulgens,115
Alcelaphus buselaphus,30
Allenopithecus nigroviridis,11
Allochrocebus lhoesti,1
Alouatta belzebul,30
Alouatta caraya,156
Alouatta guariba,60
Alouatta palliata,167
Alouatta pigra,102
Alouatta sara,5
Ammotragus lervia,67
Anomalurus derbianus,1
Antidorcas marsupialis,74
Antilocapra americana,99
Antilope cervicapra,45
Aotus azarae,49
Aotus nigriceps,13
Aotus trivirgatus,948
Arctocephalus australis,69
Arctonyx collaris,6
Ateles geoffroyi,201
Ateles paniscus,51
Atilax paludinosus,8
Babyrousa babyrussa,26
Bandicota savilei,17
Bassaricyon gabbii,3
Bassariscus astutus,11
Berylmys bowersi,4
Bison bison,536
Bison bonasus,193
Blastocerus dichotomus,35
Bos gaurus,60
Bos mutus,23
Brachyteles arachnoides,39
Bradypus variegatus,55
Bubalus arnee,18
Callicebus nigrifrons,21
Callimico goeldii,88
Callithrix geoffroyi,38
Callithrix jacchus,2091
Callithrix penicillata,117
Camelus ferus,19
Canis adustus,18
Canis aureus,113
Canis latrans,437
Canis lupus,1317
Canis mesomelas,52
Capra aegagrus,128
Capra caucasica,1
Capra cylindricornis,1
Capra ibex,129
Capra pyrenaica,128
Capreolus capreolus,727
Capricornis crispus,82
Caracal caracal,24
Castor canadensis,145
Castor fiber,146
Catopuma temminckii,9
Cebuella pygmaea,50
Cebus capucinus,174
Cephalophus callipygus,1
Cephalophus dorsalis,10
Cephalophus leucogaster,2
Cephalophus nigrifrons,3
Cephalophus weynsi,1
Ceratotherium simum,229
Cercocebus agilis,10
Cercocebus atys,325
Cercocebus chrysogaster,4
Cercocebus galeritus,15
Cercocebus sanjei,7
Cercocebus torquatus,73
Cercopithecus ascanius,54
Cercopithecus campbelli,23
Cercopithecus cephus,25
Cercopithecus denti,1
Cercopithecus diana,28
Cercopithecus erythrotis,5
Cercopithecus hamlyni,4
Cercopithecus lhoesti,17
Cercopithecus mitis,82
Cercopithecus mona,25
Cercopithecus neglectus,28
Cercopithecus nictitans,38
Cercopithecus petaurista,3
Cercopithecus pogonias,7
Cercopithecus sclateri,3
Cerdocyon thous,152
Chaerephon pumilus,5
Chironectes minimus,4
Chiropotes chiropotes,1
Chlorocebus aethiops,40218
Chlorocebus pygerythrus,71
Chlorocebus sabaeus,62
Chlorocebus tantalus,4
Choeropsis liberiensis,22
Chrotogale owstoni,17
Chrysocyon brachyurus,115
Civettictis civetta,15
Coendou prehensilis,16
Colobus angolensis,31
Colobus guereza,102
Colobus polykomos,32
Connochaetes gnou,31
Connochaetes taurinus,101
Cricetomys emini,4
Cricetus cricetus,187
Crocuta crocuta,210
Cryptoprocta ferox,18
Cuniculus paca,66
Cynopterus sphinx,72
Damaliscus lunatus,24
Damaliscus pygargus,22
Dasypus novemcinctus,326
Diceros bicornis,209
Didelphis marsupialis,311
Didelphis virginiana,582
Dobsonia exoleta,0
Dolichotis patagonum,28
Dremomys rufigenis,3
Eidolon dupreanum,9
Eidolon helvum,118
Eira barbara,21
Eonycteris spelaea,30
Epomophorus labiatus,2
Epomops buettikoferi,2
Epomops franqueti,12
Equus grevyi,34
Equus hemionus,66
Equus quagga,66
Equus zebra,50
Erethizon dorsatum,58
Erythrocebus patas,461
Eudorcas thomsonii,5
Eulemur albifrons,1
Eulemur fulvus,112
Eulemur macaco,52
Eulemur rufus,1
Euoticus elegantulus,3
Felis margarita,15
Felis nigripes,17
Felis silvestris,260
Funambulus pennantii,5
Funisciurus anerythrus,2
Galago senegalensis,149
Galictis cuja,17
Gazella dorcas,28
Gazella gazella,36
Gazella spekei,10
Gazella subgutturosa,62
Genetta genetta,54
Genetta maculata,5
Giraffa camelopardalis,226
Glis glis,112
Golunda ellioti,3
Gorilla beringei,201
Gorilla beringei beringei,97
Gorilla beringei graueri,23
Gorilla gorilla,2251
Gorilla gorilla gorilla,427
Gulo gulo,75
Heliosciurus gambianus,5
Heliosciurus rufobrachium,3
Herpailurus yagouaroundi,16
Herpestes javanicus,19
Herpestes sanguineus,3
Hippopotamus amphibius,90
Hipposideros armiger,44
Hipposideros commersoni,6
Hipposideros gigas,3
Hipposideros lankadiva,3
Hipposideros larvatus,17
Hipposideros lekaguli,1
Hipposideros pomona,13
Hipposideros ruber,3
Hipposideros speoris,10
Hipposideros vittatus,2
Hippotragus equinus,32
Hippotragus niger,43
Hylobates lar,183
Hylobates moloch,20
Hylobates pileatus,23
Hypsignathus monstrosus,17
Hystrix africaeaustralis,16
Hystrix brachyura,11
Indri indri,32
Isoodon macrourus,70
Kobus ellipsiprymnus,34
Kobus megaceros,7
Lagothrix lagotricha,43
Lemur catta,345
Leontocebus fuscicollis,2
Leontocebus nigricollis,1
Leontopithecus chrysomelas,49
Leontopithecus rosalia,106
Leopardus geoffroyi,27
Leopardus pardalis,120
Leopardus tigrinus,49
Leopoldamys sabanus,10
Lepus americanus,145
Lepus californicus,37
Lepus capensis,39
Lepus europaeus,335
Lepus saxatilis,20
Lepus timidus,109
Lepus tolai,4
Lontra canadensis,86
Lophocebus albigena,42
Lophocebus aterrimus,7
Loxodonta africana,580
Lutra lutra,217
Lycaon pictus,167
Lynx canadensis,80
Lynx lynx,300
Lynx pardinus,94
Lynx rufus,172
Macaca arctoides,309
Macaca cyclopis,74
Macaca fascicularis,19310
Macaca fuscata,1002
Macaca leonina,34
Macaca maura,6
Macaca mulatta,43139
Macaca nemestrina,2793
Macaca nigra,81
Macaca nigrescens,6
Macaca ochreata,1
Macaca radiata,847
Macaca silenus,54
Macaca sinica,31
Macaca sylvanus,148
Macaca tonkeana,61
Macropus agilis,24
Macropus parryi,2
Mandrillus leucophaeus,39
Mandrillus sphinx,136
Manis javanica,56
Manis pentadactyla,54
Martes foina,113
Martes martes,88
Martes pennanti,52
Mazama gouazoubira,66
Megaderma lyra,36
Megaderma spasma,8
Meles meles,547
Mellivora capensis,10
Melogale moschata,21
Mephitis macroura,10
Mephitis mephitis,239
Meriones hurrianae,82
Mico argentatus,4
Mico leucippe,0
Microcebus berthae,7
Microcebus griseorufus,16
Microcebus murinus,353
Microcebus myoxinus,4
Microcebus ravelobensis,20
Microcebus rufus,20
Microcebus sambiranensis,2
Microcebus tavaratra,3
Micropteropus pusillus,8
Miopithecus ogouensis,3
Miopithecus talapoin,22
Mirza coquereli,7
Mops midas,0
Mungos mungo,62
Muntiacus muntjak,73
Mustela erminea,73
Mustela frenata,9
Mustela lutreola,52
Mustela nigripes,66
Mustela nivalis,67
Mustela putorius,616
Mustela sibirica,26
Myotis mystacinus,19
Myotis nattereri,48
Myrmecophaga tridactyla,87
Nandinia binotata,10
Nanger granti,7
Nasalis larvatus,51
Nasua narica,38
Nasua nasua,123
Neofelis nebulosa,61
Niviventer eha,1
Nomascus leucogenys,39
Nyctereutes procyonoides,304
Nycticebus bengalensis,8
Nycticebus coucang,114
Nycticebus pygmaeus,24
Nyctimene cephalotes,0
Odocoileus hemionus,388
Odocoileus virginianus,1242
Okapia johnstoni,40
Oreamnos americanus,70
Oryx gazella,40
Oryx leucoryx,60
Otocolobus manul,18
Otocyon megalotis,25
Otolemur crassicaudatus,26
Ourebia ourebi,6
Ovibos moschatus,133
Ovis ammon,70
Ovis canadensis,346
Ovis dalli,66
Ovis orientalis,55
Ozotoceros bezoarticus,47
Paguma larvata,46
Pan paniscus,824
Pan troglodytes,10332
Panthera leo,493
Panthera onca,190
Panthera pardus,264
Panthera tigris,385
Papio anubis,877
Papio cynocephalus,554
Papio hamadryas,731
Papio papio,526
Papio ursinus,416
Paradoxurus hermaphroditus,19
Pecari tajacu,91
Pedetes capensis,16
Phacochoerus aethiopicus,53
Phacochoerus africanus,43
Philantomba monticola,7
Piliocolobus tephrosceles,8
Piliocolobus tholloni,0
Pithecia pithecia,34
Platyrrhinus lineatus,19
Pongo abelii,180
Pongo pygmaeus,1205
Potamochoerus porcus,23
Potos flavus,32
Presbytis melalophos,14
Prionailurus bengalensis,74
Prionailurus viverrinus,18
Procapra gutturosa,20
Procolobus badius,20
Procolobus verus,9
Procyon cancrivorus,22
Procyon lotor,749
Procyon pygmaeus,1
Proteles cristata,3
Pseudalopex culpaeus,13
Pseudalopex griseus,7
Pseudalopex gymnocercus,12
Pseudois nayaur,45
Pteropus admiralitatum,10815
Pteropus alecto,85
Pteropus capistratus,1
Pteropus conspicillatus,18
Pteropus dasymallus,8
Pteropus giganteus,61
Pteropus hypomelanus,36
Pteropus lylei,19
Pteropus neohibernicus,1
Pteropus poliocephalus,67
Pteropus rufus,15
Pteropus scapulatus,23
Pteropus vampyrus,53
Pudu puda,27
Puma concolor,333
Pygathrix nemaeus,22
Pygathrix nigripes,2
Raphicerus melanotis,4
Raphicerus sharpei,0
Ratufa bicolor,4
Redunca arundinum,9
Redunca fulvorufula,12
Rhinolophus alcyone,1
Rhinolophus creaghi,10786
Rhinolophus luctus,2
Rhizomys pruinosus,9
Rhizomys sinensis,16
Rousettus aegyptiacus,206
Rousettus amplexicaudatus,10
Rousettus leschenaultii,26
Rousettus madagascariensis,9
Rupicapra pyrenaica,100
Rupicapra rupicapra,160
Rusa unicolor,42
Saguinus geoffroyi,26
Saguinus imperator,30
Saguinus labiatus,53
Saguinus midas,44
Saguinus mystax,88
Saguinus oedipus,370
Saiga tatarica,43
Saimiri boliviensis,143
Saimiri oerstedii,10
Saimiri sciureus,1181
Sapajus apella,106
Sapajus xanthosternos,11
Sciurus carolinensis,214
Sciurus vulgaris,175
Semnopithecus entellus,30
Spermophilopsis leptodactylus,4
Spermophilus fulvus,8
Spilogale gracilis,10
Sundamys muelleri,12
Suricata suricatta,152
Sus celebensis,9
Sus scrofa,16687
Sylvicapra grimmia,28
Sylvilagus aquaticus,4
Sylvilagus audubonii,19
Sylvilagus floridanus,135
Sylvilagus nuttallii,13
Syncerus caffer,397
Tamandua tetradactyla,85
Taphozous theobaldi,1
Tarsius bancanus,29
Tatera indica,63
Taxidea taxus,39
Theropithecus gelada,96
Thryonomys swinderianus,74
Trachypithecus cristatus,17
Trachypithecus francoisi,30
Trachypithecus germaini,2
Tragelaphus angasii,18
Tragelaphus eurycerus,28
Tragelaphus imberbis,14
Tragelaphus oryx,5
Tragelaphus scriptus,43
Tragelaphus strepsiceros,90
Tragulus javanicus,43
Tupaia belangeri,460
Tupaia glis,222
Tupaia tana,9
Urocitellus parryii,40
Urocitellus undulatus,4
Urocyon cinereoargenteus,108
Ursus americanus,348
Ursus arctos,595
Ursus maritimus,420
Ursus thibetanus,133
Varecia rubra,30
Varecia variegata,105
Vulpes chama,3
Vulpes corsac,12
Vulpes macrotis,32
Vulpes velox,16
Vulpes vulpes,1357
Xerus erythropus,8
